Id,Year,New Or Old,Name,Address,Production Origin,Color,Fuel,Car Gearbox,Used (kilomet),Price
4826046,2021,Xe cũ,"Mercedes Benz GLC 300 4Matic",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 2.0 L",số tự động,10000,2 Tỷ 230 Triệu
4778892,2022,Xe cũ,"Toyota Prado VX 2.7L",Hà Nội,Xe nhập khẩu,màu xanh,"máy xăng 2.7 L",số tự động,6000,2 Tỷ 900 Triệu
4840398,2013,Xe cũ,"Toyota Fortuner 2.5G 4x2 MT",Hà Nội,Xe lắp ráp trong nước,màu bạc,"máy dầu",số tay,120000,588 Triệu
4826661,2022,Xe cũ,"Hyundai Tucson 2.0 AT Đặc biệt",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 2.0 L",số tự động,4500,955 Triệu
4652914,2021,Xe cũ,"Hyundai SantaFe Cao cấp 2.2L HTRAC",Hà Nội,Xe lắp ráp trong nước,màu đen,"máy dầu 2.2 L",số tự động,1500,1 Tỷ 299 Triệu
4259125,2019,Xe cũ,"Mazda CX8 Premium AWD",Hà Nội,Xe lắp ráp trong nước,màu đỏ,"máy xăng 2.5 L",số tự động,20000,985 Triệu
4595054,2011,Xe cũ,"Lexus RX 350 AWD",Hà Nội,Xe nhập khẩu,màu đen,"máy xăng 3.5 L",số tự động,60000,1 Tỷ 190 Triệu
4823859,1998,Xe cũ,"Mazda 323 1.6 MT",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 1.6 L",số tay,246589,67 Triệu
4840394,2008,Xe cũ,"BMW 3 Series 320i",Hưng Yên,Xe nhập khẩu,màu trắng,"máy xăng",số tự động,140000,275 Triệu
4840413,2023,Xe mới,"Lexus RX 350",TP HCM,Xe nhập khẩu,màu trắng,"máy xăng",số tự động,0,3 Tỷ 430 Triệu
4821366,2016,Xe cũ,"Toyota Camry 2.5Q",TP HCM,Xe lắp ráp trong nước,màu đen,"máy xăng 2.5 L",số tự động,41000,769 Triệu
4838592,2017,Xe cũ,"Ford Focus Trend 1.5L",Thanh Hóa,Xe lắp ráp trong nước,màu đỏ,"máy xăng",số tự động,26000,440 Triệu
4836895,2018,Xe cũ,"Nissan Sunny Q Series XV Premium",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 1.5 L",số tự động,21300,390 Triệu
4839938,2016,Xe cũ,"Toyota Land Cruiser VX 4.6 V8",Hà Nội,Xe nhập khẩu,màu đen,"máy xăng 4.6 L",số tự động,83000,3 Tỷ 430 Triệu
4840409,2023,Xe mới,"Lexus RX 350",Hà Nội,Xe nhập khẩu,màu trắng,"máy xăng",số tự động,0,3 Tỷ 430 Triệu
4825390,2020,Xe cũ,"Ford Ranger XLS 2.2L 4x2 AT",Hà Nội,Xe nhập khẩu,màu trắng,"máy dầu 2.2 L",số tự động,32000,610 Triệu
4716486,2022,Xe mới,"Mercedes Benz GLC 200 4Matic",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 2.0 L",số tự động,0,1 Tỷ 875 Triệu
4742758,2022,Xe mới,"Mercedes Benz Maybach GLS 480 4Matic",Hà Nội,Xe nhập khẩu,màu trắng,"máy xăng 3.0 L",số tự động,0,8 Tỷ 679 Triệu
4257856,2022,Xe mới,"Kia Seltos Luxury 1.4 AT",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 1.4 L",số tự động,0,704 Triệu
4840381,2012,Xe cũ,"Toyota Fortuner 2.7V",Hà Nội,Xe lắp ráp trong nước,màu ghi,"máy xăng",số tự động,90000,439 Triệu
4799940,2019,Xe cũ,"Hyundai SantaFe 2.4L HTRAC",TP HCM,Xe lắp ráp trong nước,màu bạc,"máy xăng 2.4 L",số tự động,62000,850 Triệu
4839933,2019,Xe cũ,"Nissan Navara EL Premium R",Hà Nội,Xe nhập khẩu,màu trắng,"máy dầu 2.5 L",số tự động,48000,525 Triệu
4829770,2020,Xe cũ,"Hyundai SantaFe Premium 2.2L HTRAC",TP HCM,Xe lắp ráp trong nước,màu đen,"máy dầu 2.2 L",số tự động,16000,1 Tỷ 90 Triệu
4820344,2013,Xe cũ,"BMW 3 Series 320i",Hà Nội,Xe nhập khẩu,màu nâu,"máy xăng 2.0 L",số tự động,56789,565 Triệu
4783486,2019,Xe cũ,"Toyota Camry 2.5Q",TP HCM,Xe nhập khẩu,màu đỏ,"máy xăng 2.5 L",số tự động,62000,1 Tỷ 50 Triệu
4818604,2022,Xe cũ,"Toyota Veloz Cross Top 1.5 CVT",TP HCM,Xe nhập khẩu,màu đen,"máy xăng 1.5 L",số tự động,8000,690 Triệu
4827999,2021,Xe cũ,"Toyota Fortuner 2.4G 4x2 AT Legender",TP HCM,Xe lắp ráp trong nước,màu đồng,"máy dầu 2.4 L",số tự động,41000,1 Tỷ 160 Triệu
4783501,2018,Xe cũ,"Toyota Fortuner 2.8V 4x4 AT",TP HCM,Xe nhập khẩu,màu nâu,"máy dầu 2.8 L",số tự động,76000,975 Triệu
4840377,2022,Xe cũ,"Honda CRV L",TP HCM,Xe lắp ráp trong nước,màu đỏ,"máy xăng",số tự động,2000,970 Triệu
4814466,2020,Xe cũ,"Toyota Wigo 1.2 AT",Hà Nội,Xe nhập khẩu,màu trắng,"máy xăng 1.2 L",số tự động,20000,375 Triệu
4831052,2021,Xe cũ,"Mitsubishi Attrage 1.2 MT",Hà Nội,Xe nhập khẩu,màu ghi,"máy xăng 1.2 L",số tay,18000,365 Triệu
4840385,2014,Xe cũ,"BMW 3 Series 320i MSPORT",Hà Nội,Xe nhập khẩu,màu xanh,"máy xăng",số tự động,68000,655 Triệu
4822756,2022,Xe cũ,"Toyota Corolla Cross 1.8G",Hà Nội,Xe nhập khẩu,màu đỏ,"máy xăng 1.8 L",số tự động,12000,780 Triệu
4815052,2023,Xe mới,"VinFast VF8 Eco",Hà Nội,Xe lắp ráp trong nước,màu trắng,"xe điện",số tự động,0,777 Triệu
4656446,2019,Xe cũ,"Mazda CX5 2.0 AT",Hà Nội,Xe lắp ráp trong nước,màu nâu,"máy xăng 2.0 L",số tự động,45000,728 Triệu
3801049,2022,Xe mới,"Hyundai Accent 1.4 AT Đặc Biệt",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 1.4 L",số tự động,0,515 Triệu
3942595,2022,Xe mới,"Hyundai i10 1.2 AT",Hà Nội,Xe lắp ráp trong nước,màu đỏ,"máy xăng 1.25 L",số tự động,0,395 Triệu
4605924,2020,Xe cũ,"Kia Sedona 2.2 DAT Luxury",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy dầu 2.2 L",số tự động,50000,1 Tỷ 55 Triệu
4806475,2021,Xe cũ,"Hyundai Kona 2.0 AT",Hà Nội,Xe lắp ráp trong nước,màu đỏ,"máy xăng 2.0 L",số tự động,30000,610 Triệu
4811628,2022,Xe mới,"Mitsubishi Triton Athlete 4x2 AT",Hà Nội,Xe nhập khẩu,màu trắng,"máy dầu 2.4 L",số tự động,0,845 Triệu
4472838,2022,Xe mới,"Mazda CX5 Deluxe 2.0 AT",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 2.0 L",số tự động,0,754 Triệu
4701948,2022,Xe mới,"Mazda 3 1.5L Luxury",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 1.5 L",số tự động,0,669 Triệu
4826028,2023,Xe mới,"Ford Everest Sport 2.0L 4x2 AT",Vĩnh Phúc,Xe nhập khẩu,màu xanh,"máy dầu 2.0 L",số tự động,0,1 Tỷ 166 Triệu
4826806,2022,Xe mới,"Ford Territory Trend 1.5 AT",Vĩnh Phúc,Xe lắp ráp trong nước,màu nâu,"máy xăng 1.5 L",số tự động,0,762 Triệu
4681496,2023,Xe mới,"Ford Ranger Wildtrak 2.0L 4x4 AT",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy dầu 2.0 L",số tự động,0,945 Triệu
4839471,2023,Xe mới,"Ford Territory Titanium X",Hà Nội,Xe lắp ráp trong nước,màu đen,"máy xăng",số tự động,0,915 Triệu
4826766,2018,Xe cũ,"Ford Ranger XLS 2.2L 4x2 AT",Hà Nội,Xe nhập khẩu,màu vàng,"máy dầu 2.2 L",số tự động,60000,565 Triệu
4839416,2023,Xe mới,"Ford Ranger XLS 4x2AT",Hà Nội,Xe lắp ráp trong nước,màu xanh,"máy dầu",số tự động,0,658 Triệu
4752134,2010,Xe cũ,"Mercedes Benz E class E250",Hà Nội,Xe lắp ráp trong nước,màu ghi,"máy xăng 1.8 L",số tự động,123456,418 Triệu
4830618,2018,Xe cũ,"Honda City 1.5TOP",Hà Nội,Xe lắp ráp trong nước,màu xanh,"máy xăng 1.5 L",số tự động,60000,475 Triệu
